record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type,rodent_type,date,quarter
8022,6,18,1983,2,NL,F,30,126,Neotoma,albigula,Rodent,Control,Other,1983-06-18,1983.2
8263,8,16,1983,2,NL,F,32,147,Neotoma,albigula,Rodent,Control,Other,1983-08-16,1983.3
8387,9,11,1983,2,NL,F,32,138,Neotoma,albigula,Rodent,Control,Other,1983-09-11,1983.3
8394,9,11,1983,2,NL,F,32,161,Neotoma,albigula,Rodent,Control,Other,1983-09-11,1983.3
8407,9,11,1983,2,NL,M,33,148,Neotoma,albigula,Rodent,Control,Other,1983-09-11,1983.3
8514,10,16,1983,2,NL,F,32,151,Neotoma,albigula,Rodent,Control,Other,1983-10-16,1983.4
8543,10,16,1983,2,NL,F,31,175,Neotoma,albigula,Rodent,Control,Other,1983-10-16,1983.4
8657,11,13,1983,2,NL,F,32,158,Neotoma,albigula,Rodent,Control,Other,1983-11-13,1983.4
8675,11,13,1983,2,NL,F,32,164,Neotoma,albigula,Rodent,Control,Other,1983-11-13,1983.4
8755,12,9,1983,2,NL,F,32,150,Neotoma,albigula,Rodent,Control,Other,1983-12-09,1983.4
9048,4,10,1984,2,NL,F,32,157,Neotoma,albigula,Rodent,Control,Other,1984-04-10,1984.2
9132,5,13,1984,2,NL,M,32,125,Neotoma,albigula,Rodent,Control,Other,1984-05-13,1984.2
9270,5,28,1984,2,NL,M,33,125,Neotoma,albigula,Rodent,Control,Other,1984-05-28,1984.2
9349,7,4,1984,2,NL,M,35,130,Neotoma,albigula,Rodent,Control,Other,1984-07-04,1984.3
9512,8,26,1984,2,NL,F,31,151,Neotoma,albigula,Rodent,Control,Other,1984-08-26,1984.3
9605,9,30,1984,2,NL,F,32,173,Neotoma,albigula,Rodent,Control,Other,1984-09-30,1984.3
9703,10,21,1984,2,NL,M,30,126,Neotoma,albigula,Rodent,Control,Other,1984-10-21,1984.4
10606,7,24,1985,2,NL,F,30,91,Neotoma,albigula,Rodent,Control,Other,1985-07-24,1985.3
10617,7,24,1985,2,NL,M,32,186,Neotoma,albigula,Rodent,Control,Other,1985-07-24,1985.3
10627,7,24,1985,2,NL,F,32,174,Neotoma,albigula,Rodent,Control,Other,1985-07-24,1985.3
10720,8,20,1985,2,NL,F,31,106,Neotoma,albigula,Rodent,Control,Other,1985-08-20,1985.3
10923,10,13,1985,2,NL,F,31,136,Neotoma,albigula,Rodent,Control,Other,1985-10-13,1985.4
10949,10,13,1985,2,NL,F,33,148,Neotoma,albigula,Rodent,Control,Other,1985-10-13,1985.4
11215,12,8,1985,2,NL,F,32,160,Neotoma,albigula,Rodent,Control,Other,1985-12-08,1985.4
11329,3,9,1986,2,NL,M,34,240,Neotoma,albigula,Rodent,Control,Other,1986-03-09,1986.1
11496,5,11,1986,2,NL,F,31,163,Neotoma,albigula,Rodent,Control,Other,1986-05-11,1986.2
11498,5,11,1986,2,NL,F,31,82,Neotoma,albigula,Rodent,Control,Other,1986-05-11,1986.2
11611,6,5,1986,2,NL,F,32,110,Neotoma,albigula,Rodent,Control,Other,1986-06-05,1986.2
11628,6,5,1986,2,NL,M,34,227,Neotoma,albigula,Rodent,Control,Other,1986-06-05,1986.2
11709,7,4,1986,2,NL,F,31,184,Neotoma,albigula,Rodent,Control,Other,1986-07-04,1986.3
11877,9,7,1986,2,NL,M,34,202,Neotoma,albigula,Rodent,Control,Other,1986-09-07,1986.3
11879,9,7,1986,2,NL,F,32,135,Neotoma,albigula,Rodent,Control,Other,1986-09-07,1986.3
11887,9,7,1986,2,NL,M,33,177,Neotoma,albigula,Rodent,Control,Other,1986-09-07,1986.3
11953,10,5,1986,2,NL,M,33,221,Neotoma,albigula,Rodent,Control,Other,1986-10-05,1986.4
12299,2,1,1987,2,NL,M,32,253,Neotoma,albigula,Rodent,Control,Other,1987-02-01,1987.1
12458,3,2,1987,2,NL,M,33,259,Neotoma,albigula,Rodent,Control,Other,1987-03-02,1987.1
12602,4,6,1987,2,NL,M,34,260,Neotoma,albigula,Rodent,Control,Other,1987-04-06,1987.2
12678,4,26,1987,2,NL,M,30,79,Neotoma,albigula,Rodent,Control,Other,1987-04-26,1987.2
12708,4,26,1987,2,NL,F,28,72,Neotoma,albigula,Rodent,Control,Other,1987-04-26,1987.2
12729,4,26,1987,2,NL,M,32,270,Neotoma,albigula,Rodent,Control,Other,1987-04-26,1987.2
12756,5,28,1987,2,NL,F,30,99,Neotoma,albigula,Rodent,Control,Other,1987-05-28,1987.2
12871,5,28,1987,2,NL,M,32,278,Neotoma,albigula,Rodent,Control,Other,1987-05-28,1987.2
12997,7,1,1987,2,NL,F,30,136,Neotoma,albigula,Rodent,Control,Other,1987-07-01,1987.3
13025,7,1,1987,2,NL,M,33,260,Neotoma,albigula,Rodent,Control,Other,1987-07-01,1987.3
13114,7,26,1987,2,NL,M,NA,269,Neotoma,albigula,Rodent,Control,Other,1987-07-26,1987.3
13275,8,26,1987,2,NL,M,NA,NA,Neotoma,albigula,Rodent,Control,Other,1987-08-26,1987.3
13326,8,26,1987,2,NL,F,32,146,Neotoma,albigula,Rodent,Control,Other,1987-08-26,1987.3
13434,9,27,1987,2,NL,M,33,197,Neotoma,albigula,Rodent,Control,Other,1987-09-27,1987.3
13465,9,27,1987,2,NL,F,32,167,Neotoma,albigula,Rodent,Control,Other,1987-09-27,1987.3
13476,9,27,1987,2,NL,F,33,146,Neotoma,albigula,Rodent,Control,Other,1987-09-27,1987.3
13615,10,25,1987,2,NL,M,34,203,Neotoma,albigula,Rodent,Control,Other,1987-10-25,1987.4
13630,10,25,1987,2,NL,F,30,176,Neotoma,albigula,Rodent,Control,Other,1987-10-25,1987.4
13748,11,22,1987,2,NL,M,34,214,Neotoma,albigula,Rodent,Control,Other,1987-11-22,1987.4
13977,1,24,1988,2,NL,F,34,161,Neotoma,albigula,Rodent,Control,Other,1988-01-24,1988.1
14646,6,12,1988,2,NL,F,34,148,Neotoma,albigula,Rodent,Control,Other,1988-06-12,1988.2
14740,7,15,1988,2,NL,F,NA,NA,Neotoma,albigula,Rodent,Control,Other,1988-07-15,1988.3
14796,8,10,1988,2,NL,M,34,188,Neotoma,albigula,Rodent,Control,Other,1988-08-10,1988.3
14804,8,10,1988,2,NL,M,31,132,Neotoma,albigula,Rodent,Control,Other,1988-08-10,1988.3
14896,9,12,1988,2,NL,M,34,161,Neotoma,albigula,Rodent,Control,Other,1988-09-12,1988.3
14984,10,9,1988,2,NL,M,35,170,Neotoma,albigula,Rodent,Control,Other,1988-10-09,1988.4
15302,12,14,1988,2,NL,M,35,248,Neotoma,albigula,Rodent,Control,Other,1988-12-14,1988.4
15780,3,13,1989,2,NL,M,33,242,Neotoma,albigula,Rodent,Control,Other,1989-03-13,1989.1
16407,7,30,1989,2,NL,F,33,97,Neotoma,albigula,Rodent,Control,Other,1989-07-30,1989.3
17230,2,25,1990,2,NL,M,33,218,Neotoma,albigula,Rodent,Control,Other,1990-02-25,1990.1
17877,9,25,1990,2,NL,F,NA,176,Neotoma,albigula,Rodent,Control,Other,1990-09-25,1990.3
17941,10,16,1990,2,NL,F,33,195,Neotoma,albigula,Rodent,Control,Other,1990-10-16,1990.4
18110,12,15,1990,2,NL,F,33,193,Neotoma,albigula,Rodent,Control,Other,1990-12-15,1990.4
18364,2,16,1991,2,NL,F,33,185,Neotoma,albigula,Rodent,Control,Other,1991-02-16,1991.1
18486,3,13,1991,2,NL,F,33,174,Neotoma,albigula,Rodent,Control,Other,1991-03-13,1991.1
18639,4,21,1991,2,NL,F,33,126,Neotoma,albigula,Rodent,Control,Other,1991-04-21,1991.2
18678,5,13,1991,2,NL,F,31,81,Neotoma,albigula,Rodent,Control,Other,1991-05-13,1991.2
18680,5,13,1991,2,NL,F,33,185,Neotoma,albigula,Rodent,Control,Other,1991-05-13,1991.2
18846,7,12,1991,2,NL,M,33,154,Neotoma,albigula,Rodent,Control,Other,1991-07-12,1991.3
18948,8,7,1991,2,NL,M,32,178,Neotoma,albigula,Rodent,Control,Other,1991-08-07,1991.3
19032,9,9,1991,2,NL,M,31,180,Neotoma,albigula,Rodent,Control,Other,1991-09-09,1991.3
19245,11,13,1991,2,NL,F,36,165,Neotoma,albigula,Rodent,Control,Other,1991-11-13,1991.4
20040,5,30,1992,2,NL,F,36,220,Neotoma,albigula,Rodent,Control,Other,1992-05-30,1992.2
20089,7,3,1992,2,NL,F,21,130,Neotoma,albigula,Rodent,Control,Other,1992-07-03,1992.3
20364,9,26,1992,2,NL,F,32,114,Neotoma,albigula,Rodent,Control,Other,1992-09-26,1992.3
20466,10,18,1992,2,NL,F,33,135,Neotoma,albigula,Rodent,Control,Other,1992-10-18,1992.4
20992,7,14,1993,2,NL,M,32,78,Neotoma,albigula,Rodent,Control,Other,1993-07-14,1993.3
21113,9,16,1993,2,NL,M,NA,NA,Neotoma,albigula,Rodent,Control,Other,1993-09-16,1993.3
21120,9,16,1993,2,NL,M,37,138,Neotoma,albigula,Rodent,Control,Other,1993-09-16,1993.3
21161,10,15,1993,2,NL,M,32,148,Neotoma,albigula,Rodent,Control,Other,1993-10-15,1993.4
21232,11,13,1993,2,NL,M,35,154,Neotoma,albigula,Rodent,Control,Other,1993-11-13,1993.4
21235,11,13,1993,2,NL,M,34,160,Neotoma,albigula,Rodent,Control,Other,1993-11-13,1993.4
21286,12,14,1993,2,NL,M,32,153,Neotoma,albigula,Rodent,Control,Other,1993-12-14,1993.4
21507,4,10,1994,2,NL,M,NA,180,Neotoma,albigula,Rodent,Control,Other,1994-04-10,1994.2
21558,5,18,1994,2,NL,M,35,NA,Neotoma,albigula,Rodent,Control,Other,1994-05-18,1994.2
22314,6,7,1995,2,NL,M,34,NA,Neotoma,albigula,Rodent,Control,Other,1995-06-07,1995.2
22728,9,23,1995,2,NL,F,32,165,Neotoma,albigula,Rodent,Control,Other,1995-09-23,1995.3
22899,10,28,1995,2,NL,F,32,171,Neotoma,albigula,Rodent,Control,Other,1995-10-28,1995.4
23032,12,2,1995,2,NL,F,33,NA,Neotoma,albigula,Rodent,Control,Other,1995-12-02,1995.4
24589,10,12,1996,2,NL,M,33,127,Neotoma,albigula,Rodent,Control,Other,1996-10-12,1996.4
24690,11,16,1996,2,NL,F,33,130,Neotoma,albigula,Rodent,Control,Other,1996-11-16,1996.4
24703,11,16,1996,2,NL,M,33,148,Neotoma,albigula,Rodent,Control,Other,1996-11-16,1996.4
25247,3,15,1997,2,NL,M,34,147,Neotoma,albigula,Rodent,Control,Other,1997-03-15,1997.1
25701,5,10,1997,2,NL,F,32,144,Neotoma,albigula,Rodent,Control,Other,1997-05-10,1997.2
26028,6,9,1997,2,NL,M,34,193,Neotoma,albigula,Rodent,Control,Other,1997-06-09,1997.2
26644,7,29,1997,2,NL,F,30,178,Neotoma,albigula,Rodent,Control,Other,1997-07-29,1997.3
26827,9,27,1997,2,NL,F,33,138,Neotoma,albigula,Rodent,Control,Other,1997-09-27,1997.3
26857,9,27,1997,2,NL,F,33,174,Neotoma,albigula,Rodent,Control,Other,1997-09-27,1997.3
27042,10,25,1997,2,NL,F,34,186,Neotoma,albigula,Rodent,Control,Other,1997-10-25,1997.4
27326,12,28,1997,2,NL,F,33,181,Neotoma,albigula,Rodent,Control,Other,1997-12-28,1997.4
27734,3,29,1998,2,NL,F,33,188,Neotoma,albigula,Rodent,Control,Other,1998-03-29,1998.1
27781,5,2,1998,2,NL,NA,NA,200,Neotoma,albigula,Rodent,Control,Other,1998-05-02,1998.2
27860,5,28,1998,2,NL,F,33,190,Neotoma,albigula,Rodent,Control,Other,1998-05-28,1998.2
27897,5,28,1998,2,NL,M,21,110,Neotoma,albigula,Rodent,Control,Other,1998-05-28,1998.2
27919,5,28,1998,2,NL,F,34,158,Neotoma,albigula,Rodent,Control,Other,1998-05-28,1998.2
28022,6,27,1998,2,NL,F,31,182,Neotoma,albigula,Rodent,Control,Other,1998-06-27,1998.2
28077,6,27,1998,2,NL,M,30,132,Neotoma,albigula,Rodent,Control,Other,1998-06-27,1998.2
28328,8,22,1998,2,NL,F,30,143,Neotoma,albigula,Rodent,Control,Other,1998-08-22,1998.3
28551,9,20,1998,2,NL,M,31,178,Neotoma,albigula,Rodent,Control,Other,1998-09-20,1998.3
28556,9,20,1998,2,NL,M,30,149,Neotoma,albigula,Rodent,Control,Other,1998-09-20,1998.3
28662,10,24,1998,2,NL,M,34,168,Neotoma,albigula,Rodent,Control,Other,1998-10-24,1998.4
28928,12,22,1998,2,NL,F,31,165,Neotoma,albigula,Rodent,Control,Other,1998-12-22,1998.4
29039,1,16,1999,2,NL,F,34,162,Neotoma,albigula,Rodent,Control,Other,1999-01-16,1999.1
29310,3,14,1999,2,NL,F,32,153,Neotoma,albigula,Rodent,Control,Other,1999-03-14,1999.1
29435,4,17,1999,2,NL,M,34,220,Neotoma,albigula,Rodent,Control,Other,1999-04-17,1999.2
29572,5,15,1999,2,NL,F,33,154,Neotoma,albigula,Rodent,Control,Other,1999-05-15,1999.2
29823,9,11,1999,2,NL,F,33,200,Neotoma,albigula,Rodent,Control,Other,1999-09-11,1999.3
29865,10,9,1999,2,NL,F,32,194,Neotoma,albigula,Rodent,Control,Other,1999-10-09,1999.4
29950,11,6,1999,2,NL,F,33,195,Neotoma,albigula,Rodent,Control,Other,1999-11-06,1999.4
30066,12,5,1999,2,NL,F,33,131,Neotoma,albigula,Rodent,Control,Other,1999-12-05,1999.4
30067,12,5,1999,2,NL,NA,NA,194,Neotoma,albigula,Rodent,Control,Other,1999-12-05,1999.4
30172,1,8,2000,2,NL,F,30,137,Neotoma,albigula,Rodent,Control,Other,2000-01-08,2000.1
30174,1,8,2000,2,NL,F,33,181,Neotoma,albigula,Rodent,Control,Other,2000-01-08,2000.1
30175,1,8,2000,2,NL,M,34,265,Neotoma,albigula,Rodent,Control,Other,2000-01-08,2000.1
30307,2,5,2000,2,NL,F,33,185,Neotoma,albigula,Rodent,Control,Other,2000-02-05,2000.1
30308,2,5,2000,2,NL,F,31,144,Neotoma,albigula,Rodent,Control,Other,2000-02-05,2000.1
30309,2,5,2000,2,NL,NA,NA,183,Neotoma,albigula,Rodent,Control,Other,2000-02-05,2000.1
30443,3,4,2000,2,NL,M,33,184,Neotoma,albigula,Rodent,Control,Other,2000-03-04,2000.1
30741,6,3,2000,2,NL,F,33,158,Neotoma,albigula,Rodent,Control,Other,2000-06-03,2000.2
31516,11,25,2000,2,NL,F,29,200,Neotoma,albigula,Rodent,Control,Other,2000-11-25,2000.4
31517,11,25,2000,2,NL,M,32,228,Neotoma,albigula,Rodent,Control,Other,2000-11-25,2000.4
31633,12,22,2000,2,NL,F,31,173,Neotoma,albigula,Rodent,Control,Other,2000-12-22,2000.4
31717,1,21,2001,2,NL,M,33,121,Neotoma,albigula,Rodent,Control,Other,2001-01-21,2001.1
31721,1,21,2001,2,NL,F,31,158,Neotoma,albigula,Rodent,Control,Other,2001-01-21,2001.1
31862,3,24,2001,2,NL,F,32,252,Neotoma,albigula,Rodent,Control,Other,2001-03-24,2001.1
31946,4,21,2001,2,NL,F,33,145,Neotoma,albigula,Rodent,Control,Other,2001-04-21,2001.2
32045,5,26,2001,2,NL,M,32,135,Neotoma,albigula,Rodent,Control,Other,2001-05-26,2001.2
32167,6,25,2001,2,NL,F,30,173,Neotoma,albigula,Rodent,Control,Other,2001-06-25,2001.2
32391,8,25,2001,2,NL,F,33,193,Neotoma,albigula,Rodent,Control,Other,2001-08-25,2001.3
32817,10,13,2001,2,NL,F,29,72,Neotoma,albigula,Rodent,Control,Other,2001-10-13,2001.4
33040,11,17,2001,2,NL,F,31,119,Neotoma,albigula,Rodent,Control,Other,2001-11-17,2001.4
33041,11,17,2001,2,NL,F,33,213,Neotoma,albigula,Rodent,Control,Other,2001-11-17,2001.4
33237,12,15,2001,2,NL,F,33,126,Neotoma,albigula,Rodent,Control,Other,2001-12-15,2001.4
33238,12,15,2001,2,NL,F,32,198,Neotoma,albigula,Rodent,Control,Other,2001-12-15,2001.4
33339,1,12,2002,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control,Other,2002-01-12,2002.1
33415,2,9,2002,2,NL,M,33,120,Neotoma,albigula,Rodent,Control,Other,2002-02-09,2002.1
33583,3,13,2002,2,NL,M,32,136,Neotoma,albigula,Rodent,Control,Other,2002-03-13,2002.1
33586,3,13,2002,2,NL,F,32,196,Neotoma,albigula,Rodent,Control,Other,2002-03-13,2002.1
33837,4,17,2002,2,NL,F,NA,190,Neotoma,albigula,Rodent,Control,Other,2002-04-17,2002.2
33847,4,17,2002,2,NL,F,30,149,Neotoma,albigula,Rodent,Control,Other,2002-04-17,2002.2
33966,5,15,2002,2,NL,F,31,188,Neotoma,albigula,Rodent,Control,Other,2002-05-15,2002.2
34198,6,15,2002,2,NL,F,31,139,Neotoma,albigula,Rodent,Control,Other,2002-06-15,2002.2
34783,10,5,2002,2,NL,M,36,226,Neotoma,albigula,Rodent,Control,Other,2002-10-05,2002.4
34991,11,9,2002,2,NL,M,33,238,Neotoma,albigula,Rodent,Control,Other,2002-11-09,2002.4
35212,12,7,2002,2,NL,M,33,248,Neotoma,albigula,Rodent,Control,Other,2002-12-07,2002.4
35404,12,29,2002,2,NL,F,30,NA,Neotoma,albigula,Rodent,Control,Other,2002-12-29,2002.4
3,7,16,1977,2,DM,F,37,NA,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-07-16,1977.3
226,9,13,1977,2,DM,M,37,51,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-09-13,1977.3
233,9,13,1977,2,DM,M,25,44,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-09-13,1977.3
245,10,16,1977,2,DM,M,37,39,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-10-16,1977.4
251,10,16,1977,2,DM,M,36,49,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-10-16,1977.4
257,10,16,1977,2,DM,M,37,47,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-10-16,1977.4
259,10,16,1977,2,DM,M,36,41,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-10-16,1977.4
268,10,16,1977,2,DM,F,36,55,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-10-16,1977.4
346,11,12,1977,2,DM,F,37,36,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-11-12,1977.4
350,11,12,1977,2,DM,M,37,47,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-11-12,1977.4
354,11,12,1977,2,DM,M,38,44,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-11-12,1977.4
361,11,12,1977,2,DM,F,36,40,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-11-12,1977.4
422,12,10,1977,2,DM,F,37,42,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-12-10,1977.4
424,12,10,1977,2,DM,M,37,52,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-12-10,1977.4
427,12,10,1977,2,DM,F,37,37,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-12-10,1977.4
438,12,10,1977,2,DM,M,36,47,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-12-10,1977.4
449,12,10,1977,2,DM,M,35,43,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1977-12-10,1977.4
507,1,8,1978,2,DM,M,35,44,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-01-08,1978.1
511,1,8,1978,2,DM,M,36,38,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-01-08,1978.1
518,1,8,1978,2,DM,M,36,38,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-01-08,1978.1
519,1,8,1978,2,DM,M,38,48,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-01-08,1978.1
521,1,8,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-01-08,1978.1
522,1,8,1978,2,DM,F,37,35,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-01-08,1978.1
523,1,8,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-01-08,1978.1
527,1,8,1978,2,DM,F,37,37,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-01-08,1978.1
533,1,8,1978,2,DM,M,NA,45,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-01-08,1978.1
593,2,18,1978,2,DM,M,38,52,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-02-18,1978.1
595,2,18,1978,2,DM,M,37,51,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-02-18,1978.1
600,2,18,1978,2,DM,F,37,40,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-02-18,1978.1
601,2,18,1978,2,DM,M,36,41,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-02-18,1978.1
660,3,11,1978,2,DM,M,37,53,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-03-11,1978.1
664,3,11,1978,2,DM,M,35,43,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-03-11,1978.1
733,4,8,1978,2,DM,M,33,NA,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-04-08,1978.2
754,4,8,1978,2,DM,M,37,NA,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-04-08,1978.2
757,4,8,1978,2,DM,F,NA,NA,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-04-08,1978.2
764,4,8,1978,2,DM,M,35,NA,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-04-08,1978.2
838,5,6,1978,2,DM,M,37,48,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-05-06,1978.2
842,5,6,1978,2,DM,F,38,41,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-05-06,1978.2
849,5,6,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-05-06,1978.2
914,5,19,1978,2,DM,F,NA,41,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-05-19,1978.2
924,5,19,1978,2,DM,M,37,49,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-05-19,1978.2
930,5,19,1978,2,DM,M,36,44,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-05-19,1978.2
1018,6,9,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-06-09,1978.2
1061,7,7,1978,2,DM,F,38,46,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-07-07,1978.3
1062,7,7,1978,2,DM,F,37,43,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-07-07,1978.3
1159,8,5,1978,2,DM,F,36,31,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-08-05,1978.3
1183,8,5,1978,2,DM,F,37,47,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-08-05,1978.3
1269,9,4,1978,2,DM,F,38,41,Dipodomys,merriami,Rodent,Control,Kangaroo Rat,1978-09-04,1978.3
