date,plot,species,sex,hfl,wgt
1989-09-04,8,DM,M,38,49
1989-09-04,3,PP,F,21,16
1989-09-04,14,DM,M,37,50
1989-09-04,8,DM,F,37,55
1989-09-04,8,PP,F,23,15
1989-09-04,2,DO,F,36,45
1989-09-04,9,DM,F,39,42
1989-09-04,9,DM,M,38,53
1989-09-04,3,SH,F,32,96
1989-09-04,2,DO,M,38,56
1989-09-04,3,SH,M,22,16
1989-09-04,14,DM,M,33,46
1989-09-04,5,OT,F,19,22
1989-09-04,8,DM,F,36,42
1989-09-04,14,DM,F,33,43
1989-09-04,8,PP,M,21,13
1989-09-04,14,DO,M,37,45
1989-09-04,4,DM,M,36,47
1989-09-04,14,AH,NA,NA,NA
1989-09-04,3,PP,M,22,16
1989-09-04,11,DM,F,37,42
1989-09-04,8,OL,M,20,27
1989-09-04,8,DM,M,37,44
1989-09-04,4,DM,F,36,40
1989-09-04,11,DM,M,37,48
1989-09-04,10,NA,NA,NA,NA
1989-09-04,15,NA,NA,NA,NA
1989-10-07,21,NA,M,33,167
1989-10-07,22,DM,M,37,50
1989-10-07,8,DM,F,35,25
1989-10-07,3,OT,F,21,23
1989-10-07,9,DO,F,36,49
1989-10-07,2,DO,F,36,46
1989-10-07,18,AH,NA,NA,NA
1989-10-07,8,DM,M,37,47
1989-10-07,2,PE,M,21,21
1989-10-07,9,OT,M,21,20
1989-10-07,8,DM,M,37,47
1989-10-07,9,OT,F,21,23
1989-10-07,3,OT,M,20,21
1989-10-07,11,OT,M,21,25
1989-10-07,9,DM,M,37,55
1989-10-07,8,DM,F,37,43
1989-10-07,11,PE,M,20,15
1989-10-07,22,DM,M,37,52
1989-10-07,8,OL,F,21,36
1989-10-07,22,PE,F,21,23
1989-10-07,2,DO,M,37,58
1989-10-07,8,DM,F,34,25
1989-10-07,18,PP,F,22,15
1989-10-07,2,SH,F,32,140
1989-10-07,8,OT,M,21,28
1989-10-07,22,DS,F,48,115
1989-10-07,11,SH,M,26,38
1989-10-07,22,DM,F,36,39
1989-10-07,11,DM,F,37,47
1989-10-07,3,RF,F,18,16
1989-10-07,3,OT,M,21,22
1989-10-07,11,DM,M,36,36
1989-10-07,8,DO,F,36,43
1989-10-07,20,RM,F,16,12
1989-10-07,3,PP,M,22,18
1989-10-07,18,AB,NA,NA,NA
1989-10-07,20,NA,M,32,92
1989-10-07,18,RM,F,16,11
1989-10-07,21,RM,M,16,9
1989-10-07,9,DM,M,37,42
1989-10-07,2,SS,NA,NA,NA
1989-10-07,9,DM,F,37,43
1989-10-07,3,SH,F,29,47
1989-10-07,8,DM,F,37,45
1989-10-07,8,DM,M,37,48
1989-10-07,21,RF,F,18,18
1989-10-07,11,DM,M,37,50
1989-10-07,21,OT,F,21,28
1989-10-07,22,PE,M,21,20
1989-10-07,10,NA,NA,NA,NA
1989-10-08,24,DO,M,37,60
1989-10-08,6,PP,F,23,18
1989-10-08,17,DO,F,36,50
1989-10-08,6,PE,F,21,27
1989-10-08,19,RM,F,16,9
1989-10-08,6,DM,M,36,40
1989-10-08,12,NA,F,31,185
1989-10-08,12,PP,M,22,15
1989-10-08,6,PP,M,22,14
1989-10-08,14,DM,M,37,53
1989-10-08,17,OT,M,20,22
1989-10-08,19,OT,M,21,22
1989-10-08,17,RM,F,16,8
1989-10-08,17,DO,M,36,48
1989-10-08,15,PE,F,21,24
1989-10-08,13,PP,M,21,14
1989-10-08,4,DM,F,36,39
1989-10-08,12,AB,NA,NA,NA
1989-10-08,4,DM,F,37,46
1989-10-08,19,PE,M,20,23
1989-10-08,1,OT,F,21,23
1989-10-08,24,PE,M,22,23
1989-10-08,13,PF,M,15,7
1989-10-08,5,PF,F,15,7
1989-10-08,15,AH,NA,NA,NA
1989-10-08,1,DM,M,37,48
1989-10-08,7,AB,NA,NA,NA
1989-10-08,7,RM,M,16,10
1989-10-08,4,PF,F,15,9
1989-10-08,1,DO,F,36,52
1989-10-08,17,DO,M,36,56
1989-10-08,1,OT,M,20,14
1989-10-08,13,AH,NA,NA,NA
1989-10-08,12,PE,M,21,20
1989-10-08,23,PE,M,21,21
1989-10-08,4,DM,M,37,35
1989-10-08,5,RM,M,17,13
1989-10-08,14,DM,M,37,48
1989-10-08,14,DM,F,37,43
1989-10-08,1,DO,M,37,56
1989-10-08,4,DS,M,54,126
1989-10-08,17,NA,F,32,149
1989-10-08,12,DM,M,36,49
1989-10-08,7,RM,F,15,7
1989-10-08,4,DM,M,37,47
1989-10-08,14,DO,M,36,53
1989-10-08,12,OT,M,21,26
1989-10-08,4,DM,F,37,45
1989-10-08,19,PE,F,21,23
1989-10-08,6,PE,M,21,23
1989-10-08,16,RM,F,16,15
1989-11-04,12,PP,M,23,15
1989-11-04,17,RM,M,17,10
1989-11-04,21,RM,M,15,12
1989-11-04,7,RM,F,15,9
1989-11-04,22,DM,M,37,50
1989-11-04,21,RM,M,17,10
1989-11-04,21,OT,M,20,35
1989-11-04,21,BA,M,13,7
1989-11-04,21,BA,M,12,6
1989-11-04,6,PE,F,21,25
1989-11-04,19,PF,F,15,7
1989-11-04,6,OT,F,20,28
1989-11-04,19,RM,F,15,10
1989-11-04,21,RM,NA,NA,NA
1989-11-04,7,PE,F,21,22
1989-11-04,12,NA,F,32,190
1989-11-04,12,RF,F,17,17
1989-11-04,23,RM,M,17,8
1989-11-04,18,RM,F,17,7
1989-11-04,7,PE,M,22,24
1989-11-04,21,AB,NA,NA,NA
1989-11-04,1,DO,M,37,52
1989-11-04,12,OT,M,23,32
1989-11-04,23,RM,M,17,11
1989-11-04,7,PE,M,22,22
1989-11-04,23,RM,M,17,12
1989-11-04,17,DO,M,37,45
1989-11-04,21,AB,NA,NA,NA
1989-11-04,20,NA,M,34,128
1989-11-04,7,PE,M,21,NA
1989-11-04,7,RM,M,18,10
1989-11-04,1,OT,M,21,27
1989-11-04,19,RM,F,16,7
1989-11-04,17,DO,M,36,55
1989-11-04,19,PE,M,20,19
1989-11-04,1,NA,F,33,156
1989-11-04,24,RF,F,17,12
1989-11-04,12,OT,F,21,27
1989-11-04,22,PH,F,26,29
1989-11-04,21,RM,M,14,7
1989-11-04,17,DM,M,37,38
1989-11-04,20,RM,F,16,8
1989-11-04,18,PF,F,15,7
1989-11-04,17,PE,NA,NA,NA
1989-11-04,22,DS,F,50,115
1989-11-04,7,RM,F,15,8
1989-11-04,12,DO,F,37,56
1989-11-04,24,RM,F,17,11
1989-11-04,18,RM,F,16,11
1989-11-04,21,OT,F,22,27
1989-11-04,6,PF,M,16,7
1989-11-04,17,NA,F,NA,157
1989-11-04,1,OT,F,21,26
1989-11-04,21,NA,NA,NA,NA
1989-11-04,1,DO,F,35,53
1989-11-04,18,RM,M,17,13
1989-11-04,22,PE,M,21,17
1989-11-04,1,DM,M,38,46
1989-11-04,6,PP,M,22,15
1989-11-04,12,DO,M,37,49
1989-11-04,17,DO,F,35,55
1989-11-04,7,RF,F,18,15
1989-11-04,24,PE,F,21,23
1989-11-04,19,RM,F,17,13
1989-11-04,1,DO,F,36,52
1989-11-04,19,PE,F,22,23
1989-11-04,6,PE,M,22,24
1989-11-04,12,OT,M,23,24
1989-11-04,19,SF,M,27,50
1989-11-04,22,DM,M,37,50
1989-11-05,9,DO,M,36,51
1989-11-05,3,RM,F,17,10
1989-11-05,14,DM,M,36,41
1989-11-05,2,DO,F,36,46
1989-11-05,4,PF,F,16,8
1989-11-05,9,DO,F,36,48
1989-11-05,14,DM,M,36,46
1989-11-05,3,RM,F,17,13
1989-11-05,11,SF,F,27,46
1989-11-05,8,OT,F,21,18
1989-11-05,9,DM,M,38,55
1989-11-05,3,OT,F,20,24
1989-11-05,8,DM,F,35,39
1989-11-05,16,RM,M,17,11
1989-11-05,8,OL,M,20,20
1989-11-05,15,PE,F,21,26
1989-11-05,8,OL,F,20,33
1989-11-05,14,AH,NA,NA,NA
1989-11-05,13,OT,F,22,17
1989-11-05,4,DM,F,37,48
1989-11-05,8,OL,M,20,20
1989-11-05,13,PP,M,22,14
1989-11-05,8,DM,M,36,46
1989-11-05,14,RM,M,17,9
1989-11-05,3,RM,M,16,8
1989-11-05,4,DM,F,37,47
1989-11-05,8,OL,F,19,19
1989-11-05,15,AH,NA,NA,NA
1989-11-05,4,DM,F,35,35
1989-11-05,5,OT,M,22,30
1989-11-05,11,AB,NA,NA,NA
1989-11-05,16,RM,F,16,8
1989-11-05,2,PE,M,22,23
1989-11-05,11,DM,M,38,53
1989-11-05,8,DM,F,37,45
1989-11-05,15,OT,F,22,23
1989-11-05,14,DM,M,37,43
1989-11-05,14,DM,M,35,43
1989-11-05,2,SH,M,27,42
1989-11-05,11,OT,M,21,25
1989-11-05,5,RF,F,17,17
1989-11-05,14,DM,M,38,NA
1989-11-05,4,DS,M,51,115
1989-11-05,2,OT,M,22,22
1989-11-05,5,PF,F,17,7
1989-11-05,3,RM,M,17,9
1989-11-05,3,PP,M,20,16
1989-11-05,2,OT,F,20,23
1989-11-05,2,PE,F,21,25
1989-11-05,8,DM,M,38,46
1989-11-05,14,RM,F,15,11
1989-11-05,2,DO,M,38,59
1989-11-05,11,DM,M,36,45
1989-11-05,8,DM,M,36,50
1989-11-05,4,DM,M,37,44
1989-11-05,11,RM,F,17,10
1989-11-05,9,DM,F,35,30
1989-11-05,9,OT,F,20,24
1989-11-05,13,RM,F,16,10
1989-11-05,3,PP,M,22,17
1989-11-05,8,OL,M,21,33
1989-11-05,14,DO,F,37,48
1989-11-05,14,DO,M,37,50
1989-11-05,9,DM,M,29,44
1989-11-05,8,DO,M,37,53
1989-11-05,11,PE,M,20,18
1989-11-05,9,DM,F,37,44
1989-11-05,10,RM,M,17,10
1989-11-05,2,PP,M,22,15
1989-11-05,4,DM,F,38,48
1989-12-04,21,RM,M,17,10
1989-12-04,19,AB,NA,NA,NA
1989-12-04,7,RM,M,17,11
1989-12-04,12,RM,M,16,8
1989-12-04,6,PP,M,22,17
1989-12-04,24,RM,F,17,10
1989-12-04,7,RM,F,17,8
1989-12-04,22,DM,M,37,47
1989-12-04,23,AB,NA,NA,NA
1989-12-04,12,DO,F,37,47
1989-12-04,6,OL,M,22,31
1989-12-04,7,PE,M,21,20
1989-12-04,1,OT,F,21,19
1989-12-04,21,SF,M,38,49
1989-12-04,12,SF,F,27,82
1989-12-04,6,PF,M,16,7
1989-12-04,12,OT,M,22,24
1989-12-04,19,RM,F,16,8
1989-12-04,12,RF,F,18,15
1989-12-04,17,DO,M,36,40
1989-12-04,21,RM,M,16,6
1989-12-04,7,RM,F,17,10
1989-12-04,21,NA,M,33,190
1989-12-04,12,RM,F,17,10
1989-12-04,1,DM,M,37,49
1989-12-04,19,PE,M,22,21
1989-12-04,17,PE,F,21,21
1989-12-04,12,DO,M,37,55
1989-12-04,6,AB,NA,NA,NA
1989-12-04,19,PE,F,22,27
1989-12-04,12,OT,M,22,28
1989-12-04,20,RM,F,17,14
1989-12-04,17,DO,F,36,47
1989-12-04,12,RM,M,17,10
1989-12-04,21,RM,F,17,10
1989-12-04,19,RM,M,17,10
1989-12-04,19,RM,F,17,11
1989-12-04,17,RM,F,17,12
1989-12-04,7,AB,NA,NA,NA
1989-12-04,22,DS,F,54,110
1989-12-04,18,AB,NA,NA,NA
1989-12-04,12,AB,NA,NA,NA
1989-12-04,7,RM,M,17,12
1989-12-04,19,PF,F,16,7
1989-12-04,19,PF,M,17,7
1989-12-04,17,DO,F,36,50
1989-12-04,7,AB,NA,NA,NA
1989-12-04,12,DO,F,37,56
1989-12-04,19,RM,M,18,12
1989-12-04,17,DM,M,37,43
1989-12-04,22,DM,M,36,52
1989-12-04,6,RM,F,16,10
1989-12-04,17,RM,M,17,10
1989-12-04,7,RM,F,17,9
1989-12-04,1,DO,F,36,53
1989-12-04,19,RM,F,17,9
1989-12-04,17,RM,F,17,13
1989-12-04,1,DO,M,36,56
1989-12-04,22,PH,F,27,32
1989-12-04,23,RM,F,16,10
1989-12-04,21,RM,F,17,12
1989-12-04,21,RM,F,17,13
1989-12-04,18,RM,M,17,14
1989-12-04,7,RM,M,17,6
1989-12-04,21,RM,M,17,9
1989-12-04,17,NA,F,33,158
1989-12-04,7,PE,M,21,19
1989-12-04,6,RM,F,17,11
1989-12-04,24,RF,F,19,14
1989-12-04,19,RM,F,17,10
1989-12-04,17,PE,M,22,21
1989-12-04,18,PE,M,21,18
1989-12-05,3,OT,M,21,24
1989-12-05,4,RM,F,16,9
1989-12-05,9,DO,M,36,49
1989-12-05,8,RM,F,15,6
1989-12-05,16,RM,M,17,9
1989-12-05,10,AB,NA,NA,NA
1989-12-05,13,RF,F,18,14
1989-12-05,15,PE,M,21,14
1989-12-05,3,RM,F,16,7
1989-12-05,10,RM,F,17,12
1989-12-05,14,DM,M,37,40
1989-12-05,9,DO,F,36,51
1989-12-05,15,PE,F,21,15
1989-12-05,2,PE,F,21,20
1989-12-05,4,DM,F,37,39
1989-12-05,5,RM,F,17,8
1989-12-05,11,SF,F,26,47
1989-12-05,16,RM,F,17,9
1989-12-05,4,DM,F,37,43
1989-12-05,8,RM,M,16,8
1989-12-05,3,RM,F,17,13
1989-12-05,8,DM,F,37,47
1989-12-05,9,DO,M,37,51
1989-12-05,15,PE,F,22,24
1989-12-05,2,DO,F,36,49
1989-12-05,13,RM,F,17,11
1989-12-05,4,DM,F,36,43
1989-12-05,11,RM,F,17,10
1989-12-05,11,DO,F,36,52
1989-12-05,8,DM,M,37,46
1989-12-05,3,RM,F,17,13
1989-12-05,14,DM,M,38,51
1989-12-05,3,NA,F,33,161
1989-12-05,4,DM,M,37,44
1989-12-05,4,DM,M,37,25
1989-12-05,3,RM,F,16,10
1989-12-05,4,DM,F,37,43
1989-12-05,8,DM,M,37,47
1989-12-05,4,DM,M,36,27
1989-12-05,11,RM,F,17,10
1989-12-05,9,RM,F,16,6
1989-12-05,8,DM,F,37,47
1989-12-05,2,DO,M,36,62
1989-12-05,3,AB,NA,NA,NA
1989-12-05,2,PE,F,22,25
1989-12-05,11,DM,F,36,35
1989-12-05,2,OT,M,21,22
1989-12-05,4,DM,F,37,34
1989-12-05,11,DM,M,37,46
1989-12-05,14,PE,M,21,14
1989-12-05,14,RM,F,17,10
1989-12-05,3,BA,M,14,8
1989-12-05,10,RM,M,17,10
1989-12-05,9,DM,F,37,45
1989-12-05,4,DM,M,37,46
1989-12-05,10,RM,F,17,8
1989-12-05,9,DM,M,37,45
1989-12-05,14,DO,M,36,NA
1989-12-05,8,DM,M,37,50
1989-12-05,9,DM,F,37,37
1989-12-05,3,RM,F,16,12
1989-12-05,8,DO,F,36,45
1989-12-05,5,OT,M,22,21
1989-12-05,9,DM,M,37,50
1989-12-05,4,DS,M,52,123
1989-12-05,5,RM,M,17,12
1989-12-05,11,DM,M,37,47
1989-12-05,10,RM,M,16,7
1989-12-05,14,DO,F,36,47
1989-12-05,5,RF,F,18,13
1989-12-05,8,DO,M,37,51
1989-12-05,16,RM,F,18,15
1989-12-05,5,RM,M,17,9
1989-12-05,4,DM,M,37,31
1989-12-05,11,DM,M,37,50
1989-12-05,8,DM,F,37,42
1990-01-06,1,DM,F,37,35
1990-01-06,1,OL,M,21,28
1990-01-06,6,PF,M,16,7
1990-01-06,23,RM,F,17,9
1990-01-06,12,RM,M,17,10
1990-01-06,24,RM,M,17,9
1990-01-06,12,SF,M,25,35
1990-01-06,24,SH,F,30,73
1990-01-06,12,SF,M,28,44
1990-01-06,17,DO,M,36,55
1990-01-06,21,SF,M,29,55
1990-01-06,12,OT,M,22,23
1990-01-06,12,DO,F,36,53
1990-01-06,21,AB,NA,NA,NA
1990-01-06,12,OT,F,21,24
1990-01-06,1,OT,F,21,20
1990-01-06,12,SF,F,27,75
1990-01-06,12,RM,M,19,11
1990-01-06,21,SF,F,29,46
1990-01-06,23,RM,M,18,11
1990-01-06,17,DO,M,36,47
1990-01-06,19,RM,M,17,10
1990-01-06,12,AH,NA,NA,NA
1990-01-06,7,RM,F,17,9
1990-01-06,1,OL,M,22,34
1990-01-06,18,RM,F,17,13
1990-01-06,21,RM,M,18,11
1990-01-06,12,DO,M,36,57
1990-01-06,20,RM,M,17,10
1990-01-06,19,RM,F,17,12
1990-01-06,24,RM,M,17,11
1990-01-06,20,RM,M,16,7
1990-01-06,18,PE,M,22,20
1990-01-06,22,DM,M,37,52
1990-01-06,6,RM,M,17,8
1990-01-06,17,DM,M,NA,NA
